               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,             0.10104,            0.036031,            0.020951,            0.018518,             0.61905,             0.14455,            0.019996,            0.069789,            0.046056,            0.015082,            0.007822,            0.007822,            0.007822
                 112,            0.093733,            0.038521,            0.015826,            0.015475,             0.61905,            0.085741,            0.012207,            0.069236,            0.045803,            0.014764,           0.0078022,           0.0078022,           0.0078022
                 113,            0.088891,            0.029866,            0.019365,            0.015475,             0.61905,            0.085741,            0.012207,            0.069236,            0.045803,            0.014764,           0.0077824,           0.0077824,           0.0077824
                 114,            0.088208,            0.022955,            0.013139,            0.019227,             0.61905,            0.049372,           0.0069249,            0.069493,            0.046124,            0.014313,           0.0077626,           0.0077626,           0.0077626
                 115,            0.083424,            0.029069,            0.013336,            0.019227,             0.61905,            0.049372,           0.0069249,            0.069493,            0.046124,            0.014313,           0.0077428,           0.0077428,           0.0077428
                 116,            0.077389,            0.025647,             0.01246,            0.021044,             0.59524,            0.023894,           0.0048014,            0.069743,            0.046281,             0.01449,            0.007723,            0.007723,            0.007723
                 117,             0.09171,            0.050837,            0.014846,            0.021044,             0.59524,            0.023894,           0.0048014,            0.069743,            0.046281,             0.01449,           0.0077032,           0.0077032,           0.0077032
                 118,            0.082052,            0.030647,            0.015451,            0.014485,             0.42262,            0.017968,           0.0035667,            0.069246,            0.045989,            0.015656,           0.0076834,           0.0076834,           0.0076834
                 119,            0.098361,            0.029172,            0.014983,            0.014485,             0.42262,            0.017968,           0.0035667,            0.069246,            0.045989,            0.015656,           0.0076636,           0.0076636,           0.0076636
                 120,             0.07825,            0.027695,            0.012178,            0.019701,             0.29762,            0.014721,           0.0022053,            0.071535,              0.0449,            0.017395,           0.0076438,           0.0076438,           0.0076438
                 121,            0.081658,            0.029787,            0.014294,            0.019701,             0.29762,            0.014721,           0.0022053,            0.071535,              0.0449,            0.017395,            0.007624,            0.007624,            0.007624
                 122,            0.087689,            0.059261,            0.017039,            0.023839,             0.17262,            0.015463,           0.0024104,            0.071253,            0.044785,             0.01908,           0.0076042,           0.0076042,           0.0076042
                 123,            0.079833,            0.035176,            0.013355,            0.023839,             0.17262,            0.015463,           0.0024104,            0.071253,            0.044785,             0.01908,           0.0075844,           0.0075844,           0.0075844
                 124,            0.093592,            0.030181,            0.015897,            0.019803,             0.14881,            0.011543,           0.0011543,            0.070106,            0.045353,            0.022607,           0.0075646,           0.0075646,           0.0075646
                 125,            0.083205,            0.024748,             0.01547,            0.019803,             0.14881,            0.011543,           0.0011543,            0.070106,            0.045353,            0.022607,           0.0075448,           0.0075448,           0.0075448
                 126,            0.075921,            0.032403,            0.013007,            0.048962,             0.19643,            0.031947,            0.012191,              0.0689,            0.047269,            0.021912,            0.007525,            0.007525,            0.007525
                 127,            0.060906,            0.029982,            0.012317,            0.048962,             0.19643,            0.031947,            0.012191,              0.0689,            0.047269,            0.021912,           0.0075052,           0.0075052,           0.0075052
                 128,            0.071649,            0.032624,              0.0138,            0.042279,             0.44643,            0.033182,            0.013773,            0.068153,            0.047588,             0.02196,           0.0074854,           0.0074854,           0.0074854
                 129,            0.089607,            0.036775,            0.017244,            0.042279,             0.44643,            0.033182,            0.013773,            0.068153,            0.047588,             0.02196,           0.0074656,           0.0074656,           0.0074656
                 130,            0.077471,            0.028063,            0.015959,            0.097298,             0.36905,            0.086972,             0.02406,            0.067823,             0.04728,            0.023901,           0.0074458,           0.0074458,           0.0074458
                 131,            0.098069,             0.05336,            0.020999,            0.097298,             0.36905,            0.086972,             0.02406,            0.067823,             0.04728,            0.023901,            0.007426,            0.007426,            0.007426
                 132,            0.078236,            0.035653,            0.014959,            0.046088,             0.41667,            0.087877,            0.019683,            0.066092,            0.047393,            0.019141,           0.0074062,           0.0074062,           0.0074062
                 133,            0.079354,            0.031466,            0.014044,            0.046088,             0.41667,            0.087877,            0.019683,            0.066092,            0.047393,            0.019141,           0.0073864,           0.0073864,           0.0073864
                 134,            0.068088,            0.027179,           0.0098745,            0.059776,             0.56548,            0.089245,            0.021594,            0.065586,            0.048883,            0.019189,           0.0073666,           0.0073666,           0.0073666
                 135,            0.070469,            0.028143,             0.01266,            0.059776,             0.56548,            0.089245,            0.021594,            0.065586,            0.048883,            0.019189,           0.0073468,           0.0073468,           0.0073468
                 136,             0.08626,            0.043424,            0.016439,            0.059137,              0.5119,            0.078568,            0.022396,             0.06579,            0.049738,            0.019556,            0.007327,            0.007327,            0.007327
                 137,            0.081159,            0.028911,            0.013845,            0.059137,              0.5119,            0.078568,            0.022396,             0.06579,            0.049738,            0.019556,           0.0073072,           0.0073072,           0.0073072
                 138,             0.10273,            0.030561,            0.011234,            0.037956,              0.6369,            0.098682,            0.024558,            0.063907,            0.047997,            0.017401,           0.0072874,           0.0072874,           0.0072874
                 139,            0.085833,            0.031427,            0.015719,            0.037956,              0.6369,            0.098682,            0.024558,            0.063907,            0.047997,            0.017401,           0.0072676,           0.0072676,           0.0072676
                 140,            0.095126,             0.05656,            0.014285,            0.040769,              0.7381,            0.076236,            0.019535,            0.065265,            0.047297,            0.018793,           0.0072478,           0.0072478,           0.0072478
                 141,            0.083843,            0.031141,            0.017335,            0.040769,              0.7381,            0.076236,            0.019535,            0.065265,            0.047297,            0.018793,            0.007228,            0.007228,            0.007228
                 142,             0.10435,            0.034592,            0.013544,            0.026202,             0.68452,            0.082703,            0.024225,            0.063184,            0.046785,            0.016815,           0.0072082,           0.0072082,           0.0072082
                 143,            0.086364,            0.046151,             0.01614,            0.026202,             0.68452,            0.082703,            0.024225,            0.063184,            0.046785,            0.016815,           0.0071884,           0.0071884,           0.0071884
                 144,            0.082096,             0.03454,            0.013055,            0.027903,             0.73214,            0.096435,            0.023363,            0.062266,             0.04706,            0.016321,           0.0071686,           0.0071686,           0.0071686
                 145,            0.086705,            0.038309,            0.016684,            0.027903,             0.73214,            0.096435,            0.023363,            0.062266,             0.04706,            0.016321,           0.0071488,           0.0071488,           0.0071488
                 146,            0.074909,            0.025202,             0.01135,            0.031481,             0.77976,             0.12697,            0.029295,            0.062565,            0.046075,            0.017981,            0.007129,            0.007129,            0.007129
